"","state","county","Biden","Trump","cases","cases_avg","cases_avg_per_100k","deaths","deaths_avg","deaths_avg_per_100k","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","retail_recreation","grocery_pharmacy","parks","transit","workplace","residential"
"46","Florida","jackson",6766,15488,35,13.43,28.93,0,0,0,1,1,1,0,1,2,0,0,-5.45161290322581,-5.48387096774194,NA,-4,-15.4838709677419,2.70967741935484
"47","Florida","jefferson",3897,4479,1,2.57,18.05,2,0.29,2.01,1,1,1,0,1,2,0,0,NA,NA,NA,NA,NA,NA
"48","Florida","lafayette",510,3128,4,1.14,13.57,0,0,0,1,1,1,0,1,2,0,0,NA,NA,NA,NA,NA,NA
"49","Florida","lake",83505,125859,66,47.29,12.88,1,0.5,0.14,1,1,1,0,1,2,0,0,-16.1612903225806,-11.7741935483871,-22.0967741935484,-26.741935483871,-23.2258064516129,4.80645161290323
"50","Florida","lee",157695,233247,146,131.71,17.09,5,2,0.26,1,1,1,0,1,2,0,0,-25.9032258064516,-17.7741935483871,-32.8709677419355,-46.5483870967742,-28.4516129032258,3.96774193548387
"51","Florida","leon",103517,57453,68,59.14,20.15,0,0.57,0.19,1,1,1,0,1,2,0,0,-21.0322580645161,-10.9677419354839,-0.612903225806452,-25.5483870967742,-30.9354838709677,10.0322580645161
"52","Florida","levy",6205,16749,6,5.43,13.08,0,0,0,1,1,1,0,1,2,0,0,2.03225806451613,-5.06451612903226,-14.4193548387097,NA,-17.1612903225806,1.70967741935484
"53","Florida","liberty",694,2846,2,1.14,13.68,0,0,0,1,1,1,0,1,2,0,0,NA,NA,NA,NA,NA,NA
"54","Florida","madison",3747,5576,1,1.57,8.5,0,0.14,0.77,1,1,1,0,1,2,0,0,NA,NA,NA,NA,NA,NA
"55","Florida","manatee",90166,124987,54,91.29,22.64,0,0,0,1,1,1,0,1,2,0,0,-23.9032258064516,-14.7741935483871,-17.0967741935484,-17.6129032258065,-22.1612903225806,4.16129032258065
"56","Florida","marion",74858,127826,50,41.86,11.45,0,0.83,0.23,1,1,1,0,1,2,0,0,-12.4838709677419,-8.2258064516129,-11.9032258064516,0.967741935483871,-18.0645161290323,3.35483870967742
"57","Florida","martin",36893,61168,18,19.86,12.33,3,0.86,0.53,1,1,1,0,1,2,0,0,-21.2903225806452,-15.258064516129,-25.5806451612903,-4.80645161290323,-29.1290322580645,4.96774193548387
"58","Florida","miami-dade",617864,532833,879,769.43,28.32,6,7.29,0.27,1,1,1,0,1,2,0,0,-24.8387096774194,-15.0967741935484,-48.2903225806452,-47.741935483871,-27.3548387096774,9.67741935483871
"59","Florida","monroe",21881,25693,35,26.71,35.99,0,0,0,1,1,1,0,1,2,0,0,-33.1290322580645,-23.8064516129032,-43.8064516129032,-39.0322580645161,-27.8064516129032,3.54838709677419
